PhysicsSystem,0,294
GenerationSystem,0,7729
MovementUpdateSystem,0,2155
CollisionSystem,0,1724
LowerBoundarySystem,0,36
TransformUpdateSystem,0,474
ScoreUpdateSystem,0,35
ClockCountdownSystem,0,107
FuelSystem,0,108
PeriodicGunSystem,0,526
AnimationSystem,0,217
ParticleSystem,0,29
RenderSystem,0,28070
PhysicsSystem,1,375
GenerationSystem,1,1810
MovementUpdateSystem,1,298
CollisionSystem,1,2952
LowerBoundarySystem,1,46
TransformUpdateSystem,1,928
ScoreUpdateSystem,1,110
ClockCountdownSystem,1,148
FuelSystem,1,122
PeriodicGunSystem,1,178
AnimationSystem,1,517
ParticleSystem,1,40
RenderSystem,1,9394
PhysicsSystem,2,376
GenerationSystem,2,1264
MovementUpdateSystem,2,283
CollisionSystem,2,3062
LowerBoundarySystem,2,42
TransformUpdateSystem,2,720
ScoreUpdateSystem,2,41
ClockCountdownSystem,2,95
FuelSystem,2,103
PeriodicGunSystem,2,90
AnimationSystem,2,254
ParticleSystem,2,30
RenderSystem,2,8675
PhysicsSystem,3,390
GenerationSystem,3,422
MovementUpdateSystem,3,277
CollisionSystem,3,3120
LowerBoundarySystem,3,48
TransformUpdateSystem,3,948
ScoreUpdateSystem,3,48
ClockCountdownSystem,3,108
FuelSystem,3,111
PeriodicGunSystem,3,99
AnimationSystem,3,900
ParticleSystem,3,42
RenderSystem,3,9091
PhysicsSystem,4,470
GenerationSystem,4,381
MovementUpdateSystem,4,259
CollisionSystem,4,5903
LowerBoundarySystem,4,88
TransformUpdateSystem,4,907
ScoreUpdateSystem,4,40
ClockCountdownSystem,4,109
FuelSystem,4,122
PeriodicGunSystem,4,101
AnimationSystem,4,431
ParticleSystem,4,35
RenderSystem,4,14285
PhysicsSystem,5,773
GenerationSystem,5,447
MovementUpdateSystem,5,414
CollisionSystem,5,3197
LowerBoundarySystem,5,43
TransformUpdateSystem,5,1082
ScoreUpdateSystem,5,38
ClockCountdownSystem,5,104
FuelSystem,5,201
PeriodicGunSystem,5,97
AnimationSystem,5,295
ParticleSystem,5,38
RenderSystem,5,8435
PhysicsSystem,6,575
GenerationSystem,6,677
MovementUpdateSystem,6,474
CollisionSystem,6,5745
LowerBoundarySystem,6,66
TransformUpdateSystem,6,794
ScoreUpdateSystem,6,41
ClockCountdownSystem,6,101
FuelSystem,6,112
PeriodicGunSystem,6,90
AnimationSystem,6,246
ParticleSystem,6,30
RenderSystem,6,6899
PhysicsSystem,7,526
GenerationSystem,7,403
MovementUpdateSystem,7,1835
CollisionSystem,7,3421
LowerBoundarySystem,7,40
TransformUpdateSystem,7,692
ScoreUpdateSystem,7,38
ClockCountdownSystem,7,101
FuelSystem,7,105
PeriodicGunSystem,7,83
AnimationSystem,7,248
ParticleSystem,7,31
