camera,0,24
background,0,20952
entities,0,1394
hud,0,9955
particles,0,50
camera,1,27
background,1,6594
entities,1,3276
hud,1,1312
particles,1,39
camera,2,26
background,2,5811
entities,2,23312
hud,2,917
particles,2,40
camera,3,23
background,3,3091
entities,3,1553
hud,3,2267
particles,3,37
camera,4,25
background,4,2974
entities,4,1945
hud,4,13146
particles,4,37
camera,5,32
background,5,3922
entities,5,2038
hud,5,829
particles,5,37
camera,6,24
background,6,3786
entities,6,1575
hud,6,890
particles,6,41
camera,7,24
background,7,2812
entities,7,3678
hud,7,707
particles,7,30
camera,8,28
background,8,17483
entities,8,3230
hud,8,2220
particles,8,39
camera,9,26
background,9,3558
entities,9,1453
hud,9,1110
particles,9,573
camera,10,52
background,10,3273
entities,10,1724
hud,10,885
particles,10,38
camera,11,27
background,11,2722
entities,11,1840
hud,11,965
particles,11,42
camera,12,24
background,12,2729
entities,12,2012
hud,12,2564
particles,12,43
camera,13,25
background,13,2902
entities,13,6774
hud,13,1046
particles,13,48
camera,14,25
background,14,2965
entities,14,1894
hud,14,938
particles,14,4918
camera,15,31
background,15,2730
entities,15,5205
hud,15,2057
particles,15,41
camera,16,28
background,16,4305
entities,16,3173
hud,16,2194
particles,16,46
camera,17,1111
background,17,6464
entities,17,3337
hud,17,2273
particles,17,41
camera,18,23
background,18,2954
entities,18,1866
hud,18,1765
particles,18,583
camera,19,24
background,19,3674
entities,19,5305
hud,19,1294
particles,19,41
camera,20,32
background,20,4093
entities,20,2198
hud,20,1609
particles,20,48
camera,21,230
background,21,3264
entities,21,1502
hud,21,1444
particles,21,36
camera,22,27
background,22,2659
entities,22,1689
hud,22,895
particles,22,43
camera,23,27
background,23,2589
entities,23,1613
hud,23,806
particles,23,38
camera,24,28
background,24,2796
entities,24,1595
hud,24,1371
particles,24,345
camera,25,22
background,25,5492
entities,25,4207
hud,25,1123
particles,25,47
camera,26,26
background,26,3502
entities,26,3250
hud,26,1560
particles,26,53
camera,27,27
background,27,2688
